"sample","name","cpu_ms"
14,"Firebase Backgr",1.614208
14,"hwuiTask0",1.500250
14,"DefaultDispatch",1.114417
14,"HWC release",1.053166
14,"ncFunctionQueue",0.921792
14,"CookieMonsterCl",0.906999
14,"queued-work-loo",0.684917
14,"OkHttp TaskRunn",0.614584
14,"hwuiTask1",0.527206
14,"binder:28205_2",0.486834
14,"binder:28205_3",0.432749
14,"FinalizerDaemon",0.397000
14,"binder:28205_1",0.314585
14,"Firebase Blocki",0.281542
14,"Expo JNI deallo",0.233042
14,"ScionFrontendAp",0.158666
14,"Profile Saver",0.018500
15,"RenderThread",529.755380
15,"mqt_v_js",280.446871
15,"oelseisfree.app",172.398463
15,".0.2.2:8093/...",24.876836
15,"mqt_v_native",10.923004
15,"Jit thread pool",10.697666
15,"Measurement Wor",9.288127
15,"binder:28205_4",3.069833
15,"Firebase Backgr",2.260374
15,"DefaultDispatch",1.389291
15,"GPU completion",1.211459
15,"binder:28205_3",1.174752
15,"HeapTaskDaemon",1.137583
15,"queued-work-loo",1.021041
15,"OkHttp TaskRunn",1.018624
15,"hwuiTask1",0.902584
15,"CookieMonsterCl",0.574833
15,"hwuiTask0",0.527666
15,"binder:28205_1",0.405957
15,"HWC release",0.369628
15,"ScionFrontendAp",0.271708
15,"Firebase Blocki",0.179041
15,"binder:28205_2",0.048292
16,"RenderThread",709.780215
16,"mqt_v_js",253.742590
16,"oelseisfree.app",179.079094
16,"HeapTaskDaemon",96.314457
16,"glide-disk-cach",16.436712
16,"HybridData Dest",15.448500
16,".0.2.2:8093/...",12.004544
16,"ReferenceQueueD",11.159126
16,"Measurement Wor",10.918956
16,"Jit thread pool",10.310625
16,"binder:28205_2",7.099791
16,"GPU completion",4.977754
16,"RSMessageThread",4.254667
16,"mqt_v_native",3.662035
16,"DefaultDispatch",2.846459
16,"binder:28205_3",2.142249
16,"Firebase Backgr",2.134831
16,"queued-work-loo",1.107500
16,"ncFunctionQueue",1.069375
16,"hwuiTask1",0.845625
16,"OkHttp TaskRunn",0.762750
16,"hwuiTask0",0.533000
16,"CookieMonsterCl",0.529039
16,"ScionFrontendAp",0.275834
16,"HWC release",0.256959
16,"FinalizerDaemon",0.197000
16,"binder:28205_1",0.186087
16,"Firebase Blocki",0.124167
16,"binder:28205_4",0.074499
16,"Expo JNI deallo",0.060458
16,"FinalizerWatchd",0.042875
17,"RenderThread",614.332005
17,"mqt_v_js",255.584919
17,"oelseisfree.app",172.320662
17,".0.2.2:8093/...",16.251337
17,"Jit thread pool",14.767875
17,"Measurement Wor",8.242124
17,"mqt_v_native",5.468832
17,"binder:28205_3",3.101372
17,"hwuiTask0",2.006291
17,"GPU completion",1.653666
17,"Firebase Backgr",1.626749
17,"DefaultDispatch",1.327293
17,"hwuiTask1",1.092958
17,"ScionFrontendAp",0.955542
17,"queued-work-loo",0.901543
17,"OkHttp TaskRunn",0.621832
17,"binder:28205_2",0.518749
17,"CookieMonsterCl",0.451333
17,"HWC release",0.423873
17,"binder:28205_4",0.326958
17,"binder:28205_1",0.310835
17,"Firebase Blocki",0.181250
18,"RenderThread",765.079289
18,"mqt_v_js",258.903912
18,"HeapTaskDaemon",186.194749
18,"oelseisfree.app",177.001011
18,"ReferenceQueueD",35.793419
18,"HybridData Dest",28.200290
18,".0.2.2:8093/...",17.423377
18,"glide-disk-cach",16.380456
18,"Jit thread pool",10.575878
18,"Measurement Wor",9.502665
18,"DefaultDispatch",3.531124
18,"mqt_v_native",3.511125
18,"binder:28205_2",3.319086
18,"Firebase Backgr",3.114624
18,"FinalizerDaemon",1.901167
18,"ncFunctionQueue",1.711958
18,"Expo JNI deallo",1.433666
18,"queued-work-loo",1.071999
