"sample","name","cpu_ms"
18,"hwuiTask0",0.655874
18,"CookieMonsterCl",0.578875
18,"HWC release",0.429123
18,"ScionFrontendAp",0.411251
18,"FinalizerDaemon",0.360792
18,"Firebase Blocki",0.321208
18,"binder:24460_3",0.181128
18,"Expo JNI deallo",0.166375
18,"binder:24460_5",0.132708
18,"binder:24460_2",0.121667
18,"Profile Saver",0.082916
19,"mqt_v_js",197.923290
19,"RenderThread",155.376880
19,"oelseisfree.app",99.381424
19,".0.2.2:8093/...",29.724418
19,"Measurement Wor",9.844458
19,"Jit thread pool",7.460999
19,"mqt_v_native",6.478951
19,"Firebase Backgr",2.122917
19,"binder:24460_1",1.931165
19,"DefaultDispatch",1.346459
19,"queued-work-loo",1.316917
19,"hwuiTask0",1.062208
19,"OkHttp TaskRunn",0.831999
19,"CookieMonsterCl",0.583541
19,"ScionFrontendAp",0.551791
19,"hwuiTask1",0.430584
19,"GPU completion",0.386706
19,"Firebase Blocki",0.320875
19,"HWC release",0.190793
19,"binder:24460_3",0.165457
19,"FinalizerWatchd",0.161916
19,"binder:24460_5",0.058541
20,"RenderThread",385.694117
20,"mqt_v_js",306.188123
20,"oelseisfree.app",283.158385
20,"HeapTaskDaemon",75.126669
20,".0.2.2:8093/...",34.178458
20,"glide-disk-cach",17.730829
20,"Jit thread pool",13.668624
20,"hades",13.247456
20,"HybridData Dest",10.793753
20,"ReferenceQueueD",9.234373
20,"Measurement Wor",7.009833
20,"mqt_v_native",6.997708
20,"binder:24460_1",4.779497
20,"hwuiTask1",1.981626
20,"OkHttp TaskRunn",1.879542
20,"ScionFrontendAp",1.755833
20,"Firebase Backgr",1.320000
20,"DefaultDispatch",1.205166
20,"ncFunctionQueue",1.096417
20,"binder:24460_5",1.079919
20,"queued-work-loo",0.981084
20,"GPU completion",0.980459
20,"hwuiTask0",0.957209
20,"CookieMonsterCl",0.536916
20,"binder:24460_3",0.493126
20,"HWC release",0.331292
20,"FinalizerDaemon",0.299333
20,"Firebase Blocki",0.188958
20,"Expo JNI deallo",0.119959
20,"FinalizerWatchd",0.057584
20,"binder:24460_2",0.001958
21,"RenderThread",261.252120
21,"mqt_v_js",214.482259
21,"oelseisfree.app",119.368184
21,"hades",95.711369
21,".0.2.2:8093/...",21.839292
21,"Jit thread pool",13.056792
21,"Measurement Wor",7.826749
21,"binder:24460_1",7.588830
21,"mqt_v_native",6.889244
21,"binder:24460_2",4.302667
21,"Firebase Backgr",2.784500
21,"hwuiTask0",2.514166
21,"DefaultDispatch",2.474708
21,"queued-work-loo",1.140416
21,"OkHttp TaskRunn",1.068168
21,"CookieMonsterCl",0.873625
21,"hwuiTask1",0.514958
21,"GPU completion",0.415706
21,"ScionFrontendAp",0.407625
21,"Firebase Blocki",0.149167
21,"HWC release",0.144958
21,"binder:24460_3",0.101376
21,"binder:24460_5",0.052750
