"cycle","label","tid","name","state","overlap_ms"
0,"takeoff-ready→animation-requested",16838,"oelseisfree.app","Running",122.472000
0,"takeoff-ready→animation-requested",16942,"glide-disk-cach","R",86.722000
0,"takeoff-ready→animation-requested",16942,"glide-disk-cach","S",65.804000
0,"takeoff-ready→animation-requested",16880,"mqt_v_js","R+",58.936000
0,"takeoff-ready→animation-requested",16942,"glide-disk-cach","Running",54.152000
0,"takeoff-ready→animation-requested",16838,"oelseisfree.app","R",53.353000
0,"takeoff-ready→animation-requested",16841,"Jit thread pool","R",51.935000
0,"takeoff-ready→animation-requested",16871,"RenderThread","R",48.655000
0,"takeoff-ready→animation-requested",16871,"RenderThread","Running",40.064000
0,"takeoff-ready→animation-requested",16838,"oelseisfree.app","R+",37.216000
0,"takeoff-ready→animation-requested",16841,"Jit thread pool","R+",37.180000
0,"takeoff-ready→animation-requested",16861,"Measurement Wor","D",23.698000
0,"takeoff-ready→animation-requested",16882,"binder:16838_4","R",14.158000
0,"takeoff-ready→animation-requested",16987,"glide-disk-cach","R",13.752000
0,"takeoff-ready→animation-requested",16987,"glide-disk-cach","R+",13.286000
0,"takeoff-ready→animation-requested",16942,"glide-disk-cach","D",12.978000
0,"takeoff-ready→animation-requested",16987,"glide-disk-cach","Running",12.719000
0,"takeoff-ready→animation-requested",16871,"RenderThread","R+",12.160000
0,"takeoff-ready→animation-requested",16861,"Measurement Wor","R+",11.500000
0,"takeoff-ready→animation-requested",16987,"glide-disk-cach","D",11.434000
0,"takeoff-ready→animation-requested",16850,"Profile Saver","R",11.117000
0,"takeoff-ready→animation-requested",16841,"Jit thread pool","Running",9.883000
0,"takeoff-ready→animation-requested",16861,"Measurement Wor","Running",8.070000
0,"takeoff-ready→animation-requested",16987,"glide-disk-cach","S",6.859000
0,"takeoff-ready→animation-requested",16861,"Measurement Wor","R",5.591000
0,"takeoff-ready→animation-requested",16988,"glide-disk-cach","S",4.687000
0,"takeoff-ready→animation-requested",16922,"binder:16838_4","R",1.337000
0,"takeoff-ready→animation-requested",16850,"Profile Saver","Running",0.262000
0,"takeoff-ready→animation-requested",16882,"binder:16838_4","Running",0.192000
0,"takeoff-ready→animation-requested",16982,"GPU completion","R",0.184000
0,"takeoff-ready→animation-requested",16988,"glide-disk-cach","Running",0.054000
0,"takeoff-ready→animation-requested",16982,"GPU completion","Running",0.015000
0,"takeoff-ready→animation-requested",16922,"binder:16838_4","Running",0.013000
0,"takeoff-ready→animation-requested",16850,"Profile Saver","R+",0.005000
0,"up→navigate",16838,"oelseisfree.app","S",31.496000
0,"up→navigate",16882,"binder:16838_4","S",28.993000
0,"up→navigate",16881,"mqt_v_native","S",23.829000
0,"up→navigate",16871,"RenderThread","Running",22.983000
0,"up→navigate",16880,"mqt_v_js","Running",22.698000
0,"up→navigate",16849,"binder:16838_3","S",21.574000
0,"up→navigate",16880,"mqt_v_js","R",17.804000
0,"up→navigate",16871,"RenderThread","R",14.178000
0,"up→navigate",16871,"RenderThread","S",12.261000
0,"up→navigate",16982,"GPU completion","S",11.888000
0,"up→navigate",16983,"HWC release","S",11.860000
0,"up→navigate",16849,"binder:16838_3","R",8.291000
